Index,Group,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Variance,Deviation
432,"(7, 7)",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,"(7, 8)",100.0,0.0,0.0,0.0,95.45454545454545,87.87878787878788,0.0,0.0
476,"(7, 9)",100.0,0.0,0.0,38.679245283018865,92.45283018867924,66.0377358490566,0.0,0.0
654,"(7, 10)",100.0,0.0,0.0,78.62595419847328,83.20610687022901,37.404580152671755,0.0,0.0
655,"(7, 11)",100.0,0.0,0.0,80.88235294117648,83.08823529411765,85.29411764705883,0.0,0.0
338,"(7, 11)",99.26470588235294,0.0,0.0,100.0,0.0,85.29411764705883,2.2058823529411766,2.2058823529411766
351,"(7, 12)",100.0,0.0,0.0,100.0,0.0,59.2,0.0,0.0
857,"(7, 13)",100.0,0.0,0.0,98.93617021276596,10.638297872340425,31.914893617021278,0.0,0.0
859,"(7, 14)",98.38709677419354,0.0,0.0,98.38709677419354,24.193548387096772,61.29032258064516,1.6129032258064515,1.6129032258064515
861,"(7, 14)",100.0,0.0,0.0,91.93548387096773,56.4516129032258,61.29032258064516,0.0,0.0
860,"(7, 15)",92.10526315789474,0.0,0.0,100.0,7.894736842105264,39.473684210526315,7.894736842105264,7.894736842105264
862,"(7, 15)",100.0,0.0,0.0,100.0,52.631578947368425,39.473684210526315,0.0,0.0
3575,"(8, 8)",100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5590,"(8, 9)",100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3714,"(8, 10)",100.0,0.0,0.0,0.0,98.96907216494844,87.0103092783505,0.0,0.0
6422,"(8, 11)",100.0,0.0,0.0,11.439114391143912,98.6469864698647,61.377613776137764,0.0,0.0
7653,"(8, 12)",100.0,0.0,0.0,24.743150684931507,98.20205479452055,70.46232876712328,0.0,0.0
5044,"(8, 13)",100.0,0.0,0.0,90.43358568479009,72.12663454920853,36.82037164487267,0.0,0.0
5410,"(8, 14)",100.00000000000001,0.0,0.0,99.87325728770597,0.0,98.92268694550064,0.0,0.0
5490,"(8, 15)",100.00000000000001,0.0,0.0,99.93394980184941,0.0,92.07397622192867,0.0,0.0
5566,"(8, 16)",99.99999999999999,0.0,0.0,99.99999999999999,0.0,73.15748642358417,0.0,0.0
5567,"(8, 17)",100.0,0.0,0.0,100.0,1.7543859649122806,48.40041279669762,0.0,0.0
10594,"(8, 18)",99.84779299847793,0.0,0.0,99.08675799086757,28.9193302891933,26.17960426179604,0.0,0.0
10600,"(8, 19)",97.48743718592964,0.0,0.0,98.24120603015075,37.688442211055275,38.69346733668341,3.015075376884422,3.015075376884422
11467,"(8, 19)",99.74874371859296,0.0,0.0,92.46231155778894,72.36180904522612,38.69346733668341,0.0,0.0
11471,"(8, 20)",100.0,0.0,0.0,97.26027397260273,87.21461187214611,68.03652968036529,0.0,0.0
11462,"(8, 21)",100.0,0.0,0.0,100.0,20.353982300884958,50.442477876106196,0.0,0.0
11479,"(8, 22)",100.0,0.0,0.0,98.18181818181817,41.81818181818182,34.54545454545455,0.0,0.0
46541,"(9, 9)",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36888,"(9, 10)",99.99999999999999,0.0,0.0,0.0,0.0,79.64824120603015,0.0,0.0
24031,"(9, 11)",100.0,0.0,0.0,0.0,67.11668273866924,83.99228543876568,0.0,0.0
158571,"(9, 12)",100.0,0.0,0.0,0.0,98.90965732087227,91.21050289274588,0.0,0.0
162078,"(9, 13)",100.0,0.0,0.0,2.9156253718909912,98.40533142925146,63.85814590027371,0.0,0.0
117362,"(9, 14)",100.0,0.0,0.0,9.398007795582503,99.35036812472933,59.426880323372316,0.0,0.0
57883,"(9, 15)",100.0,0.0,0.0,61.50625554132598,91.78406068367649,56.53137621909171,0.0,0.0
110116,"(9, 16)",100.0,0.0,0.0,91.9151333082989,82.70747277506571,17.082238077356365,0.0,0.0
152336,"(9, 17)",100.0,0.0,0.0,99.49361444631994,7.433357750246823,42.82938947100226,0.0,0.0
156501,"(9, 18)",100.0,0.0,0.011989329496747895,93.25300482570512,58.68477055420676,99.39453886041423,0.0,0.0
108291,"(9, 18)",99.99100800287744,0.0,0.008991997122560921,99.72424542157479,4.217246650481072,78.57506818931151,0.04495998561280461,0.04495998561280461
34149,"(9, 18)",99.95803734676139,0.0,0.0,99.99100800287744,0.0,99.39453886041423,0.6174504690825166,0.6174504690825166
34236,"(9, 19)",99.98749804656978,0.0,0.0,100.0,0.0,91.20800125019535,0.3938115330520394,0.3938115330520394
34314,"(9, 20)",100.0,0.0,0.0,100.0,0.0,67.73763642257681,0.0,0.0
158022,"(9, 21)",99.99999999999999,0.0,0.0,99.99541620828748,0.03667033370003667,39.61771177117711,0.0,0.0
158024,"(9, 22)",99.9871432244793,0.0,0.0,99.99357161223965,0.4949858575469272,56.06839804577012,0.17356646952944202,0.17356646952944202
158028,"(9, 22)",100.0,0.0,0.0,99.94214451015685,2.564926716379532,37.31036256106968,0.0,0.0
158026,"(9, 23)",99.84147428911126,0.0,0.0,99.99009214306946,0.5350242742494798,73.16952343208165,2.1103735262062817,2.1103735262062817
158029,"(9, 23)",99.95046071534728,0.0,0.0,99.97027642920837,5.548399881105717,52.283761022490836,0.18824928168037253,0.18824928168037253
158030,"(9, 23)",100.0,0.0,0.0,99.8711978599029,8.570296244922224,73.16952343208165,0.0,0.0
158027,"(9, 24)",98.61227219528507,0.0,0.0,100.0,0.15047650894499248,51.9311151981274,13.425848520314329,13.425848520314329
158035,"(9, 24)",99.83280387895,0.0,0.0,99.96656077579,9.647216184584517,51.9311151981274,1.120214011034944,1.120214011034944
158054,"(9, 24)",100.0,0.0,0.0,99.84952349105501,22.939307808058853,81.70874435713091,0.0,0.0
158061,"(9, 25)",100.0,0.0,0.0,99.75354282193469,59.88909426987061,63.46272335181762,0.0,0.0
268576,"(9, 26)",100.0,0.0,0.0,99.93880048959608,30.966952264381884,87.94369645042839,0.0,0.0
268593,"(9, 27)",100.00000000000001,0.0,0.0,100.00000000000001,13.133940182054618,75.55266579973993,0.0,0.0
268594,"(9, 28)",100.0,0.0,0.0,100.0,30.612244897959187,60.932944606414,0.0,0.0
268638,"(9, 29)",100.0,0.0,0.0,98.63945578231292,57.14285714285714,46.25850340136054,0.0,0.0
268643,"(9, 30)",100.0,0.0,0.0,100.0,38.70967741935483,32.25806451612903,0.0,0.0
